rid,date,eid,cid,rate
445,2022-04-06 04:00:00,1,DOT,21.51
446,2022-04-06 04:00:00,2,DOT,21.51
447,2022-04-06 04:00:00,3,DOT,21.51
448,2022-04-06 04:00:00,4,DOT,21.5041
449,2022-04-06 04:00:00,5,DOT,21.511
450,2022-04-06 05:00:00,1,BTC,45368.13
451,2022-04-06 05:00:00,2,BTC,45395.9
452,2022-04-06 05:00:00,3,BTC,45370.0
453,2022-04-06 05:00:00,4,BTC,45385.0
454,2022-04-06 05:00:00,5,BTC,45376.0
455,2022-04-06 05:00:00,1,ETH,3356.71
456,2022-04-06 05:00:00,2,ETH,3358.86
457,2022-04-06 05:00:00,3,ETH,3356.58
458,2022-04-06 05:00:00,4,ETH,3358.93
459,2022-04-06 05:00:00,5,ETH,3357.2
460,2022-04-06 05:00:00,1,LTC,121.0
461,2022-04-06 05:00:00,2,LTC,121.02
462,2022-04-06 05:00:00,3,LTC,120.91
463,2022-04-06 05:00:00,4,LTC,121.15
464,2022-04-06 05:00:00,5,LTC,120.925
465,2022-04-06 05:00:00,1,LUNA,115.76
466,2022-04-06 05:00:00,2,LUNA,115.81
467,2022-04-06 05:00:00,3,LUNA,115.7375
468,2022-04-06 05:00:00,4,LUNA,115.75
469,2022-04-06 05:00:00,5,LUNA,115.77
470,2022-04-06 05:00:00,1,ADA,1.145
471,2022-04-06 05:00:00,2,ADA,1.1459
472,2022-04-06 05:00:00,3,ADA,1.145776
473,2022-04-06 05:00:00,4,ADA,1.145782
474,2022-04-06 05:00:00,5,ADA,1.145585
475,2022-04-06 05:00:00,1,DOT,21.54
476,2022-04-06 05:00:00,2,DOT,21.55
477,2022-04-06 05:00:00,3,DOT,21.5384
478,2022-04-06 05:00:00,4,DOT,21.5314
479,2022-04-06 05:00:00,5,DOT,21.529
480,2022-04-06 06:00:00,1,BTC,45333.74
481,2022-04-06 06:00:00,2,BTC,45343.7
482,2022-04-06 06:00:00,3,BTC,45335.89
483,2022-04-06 06:00:00,4,BTC,45346.2
484,2022-04-06 06:00:00,5,BTC,45340.0
485,2022-04-06 06:00:00,1,ETH,3348.03
486,2022-04-06 06:00:00,2,ETH,3347.89
487,2022-04-06 06:00:00,3,ETH,3347.69
488,2022-04-06 06:00:00,4,ETH,3348.13
489,2022-04-06 06:00:00,5,ETH,3348.1
490,2022-04-06 06:00:00,1,LTC,121.1
491,2022-04-06 06:00:00,2,LTC,121.02
492,2022-04-06 06:00:00,3,LTC,121.06
493,2022-04-06 06:00:00,4,LTC,121.04
494,2022-04-06 06:00:00,5,LTC,121.125
495,2022-04-06 06:00:00,1,LUNA,115.1
496,2022-04-06 06:00:00,2,LUNA,115.18
497,2022-04-06 06:00:00,3,LUNA,115.1099
498,2022-04-06 06:00:00,4,LUNA,115.11
499,2022-04-06 06:00:00,5,LUNA,115.16
500,2022-04-06 06:00:00,1,ADA,1.145
501,2022-04-06 06:00:00,2,ADA,1.1446
502,2022-04-06 06:00:00,3,ADA,1.144
503,2022-04-06 06:00:00,4,ADA,1.144681
504,2022-04-06 06:00:00,5,ADA,1.14383
505,2022-04-06 06:00:00,1,DOT,21.42
506,2022-04-06 06:00:00,2,DOT,21.4
507,2022-04-06 06:00:00,3,DOT,21.4176
508,2022-04-06 06:00:00,4,DOT,21.4101
509,2022-04-06 06:00:00,5,DOT,21.425
510,2022-04-06 07:00:00,1,BTC,45077.33
511,2022-04-06 07:00:00,2,BTC,45132.24
512,2022-04-06 07:00:00,3,BTC,45082.42
513,2022-04-06 07:00:00,4,BTC,45094.3
514,2022-04-06 07:00:00,5,BTC,45087.0
515,2022-04-06 07:00:00,1,ETH,3328.77
516,2022-04-06 07:00:00,2,ETH,3330.13
517,2022-04-06 07:00:00,3,ETH,3328.4
518,2022-04-06 07:00:00,4,ETH,3327.29
519,2022-04-06 07:00:00,5,ETH,3328.3
520,2022-04-06 07:00:00,1,LTC,120.2
521,2022-04-06 07:00:00,2,LTC,120.28
522,2022-04-06 07:00:00,3,LTC,120.13
523,2022-04-06 07:00:00,4,LTC,120.09
524,2022-04-06 07:00:00,5,LTC,120.16
525,2022-04-06 07:00:00,1,LUNA,112.76
526,2022-04-06 07:00:00,2,LUNA,112.8
527,2022-04-06 07:00:00,3,LUNA,112.7634
528,2022-04-06 07:00:00,4,LUNA,112.42
529,2022-04-06 07:00:00,5,LUNA,112.78
530,2022-04-06 07:00:00,1,ADA,1.126
531,2022-04-06 07:00:00,2,ADA,1.127
532,2022-04-06 07:00:00,3,ADA,1.126739
533,2022-04-06 07:00:00,4,ADA,1.125736
534,2022-04-06 07:00:00,5,ADA,1.12623
535,2022-04-06 07:00:00,1,DOT,21.17
536,2022-04-06 07:00:00,2,DOT,21.2
537,2022-04-06 07:00:00,3,DOT,21.1743
538,2022-04-06 07:00:00,4,DOT,21.184
539,2022-04-06 07:00:00,5,DOT,21.165
540,2022-04-06 08:00:00,1,BTC,44817.89
